room_name,request,TAP
bathroom,"If the humidity level detected by the bathroom humidity sensor exceeds 70%, turn on the ventilation fan and set the fan speed to 80%.","{""Thought"": ""Based on the user request, the trigger is 'humidity level detected by the bathroom humidity sensor exceeds 70%', the action is 'turn on the ventilation fan and set the fan speed to 80%', and there is no condition. For the trigger, the device is the multi-functional-device in the bathroom and the id is 1. The service is humidity-sensor. The property is humidity. The op is >. The state is 70. For the action, the device is the multi-functional-device in the bathroom, the id is 1. The service is ventilation-fan. The properties are on and speed, and their states are true and 80 respectively."", ""TAP"": {""trigger"": ""1.humidity-sensor.humidity>70.0"", ""condition"": """", ""action"": ""1.ventilation-fan.on=true,1.ventilation-fan.speed=80""}, ""Say_to_user"": ""Ok, I have generated the TAP for you."", ""Action_type"": ""Finish""}"
bathroom,"If the motion state of the bathroom motion sensor is true and the current temperature detected by the temperature sensor is below 20°C, turn on the bathroom light and set the color temperature to 6500K.","{""Thought"": ""Based on the user request, the trigger is 'motion state of the bathroom motion sensor is true', the condition is 'current temperature detected by the temperature sensor is below 20°C', and the action is 'turn on the bathroom light and set the color temperature to 6500K'. For the trigger, the device is the multi-functional-device in the bathroom, and the id is 1. The service is motion-sensor. The property is motion-state. The state is true. For the condition, the device is the same multi-functional-device with the id 1. The service is temperature-sensor. The property is temperature. The op is <. The state is 20. For the action, the device is also the multi-functional-device in the bathroom, the id is 1. The service is light. The properties are on and color-temperature, and their states are true and 6500 respectively."", ""TAP"": {""trigger"": ""1.motion-sensor.motion-state==true"", ""condition"": ""1.temperature-sensor.temperature<20.0"", ""action"": ""1.light.on=true,1.light.color-temperature=6500""}, ""Say_to_user"": ""Ok, I have generated the TAP for you."", ""Action_type"": ""Finish""}"
bathroom,"If the current temperature detected by the temperature sensor is above 28°C, turn on the ventilation fan and activate its auto-mode.","{""Thought"": ""Based on the user request, the trigger is 'current temperature detected by the temperature sensor is above 28°C', and the action is 'turn on the ventilation fan and activate its auto-mode'. For the trigger, the device is the multi-functional-device in the bathroom, and the id is 1. The service is temperature-sensor. The property is temperature. The op is >. The state is 28. For the action, the device is the same multi-functional-device with the id 1. The service is ventilation-fan. The properties are on and auto-mode, and their states are true and true respectively."", ""TAP"": {""trigger"": ""1.temperature-sensor.temperature>28.0"", ""condition"": """", ""action"": ""1.ventilation-fan.on=true,1.ventilation-fan.auto-mode=true""}, ""Say_to_user"": ""Ok, I have generated the TAP for you."", ""Action_type"": ""Finish""}"
bathroom,"If the bathroom humidity sensor detects humidity below 30% and the motion state of the motion sensor is false, set the bathroom light mode to Eco Mode and reduce brightness by 10%.","{""Thought"": ""Based on the user request, the trigger is a combination of two conditions: 'humidity sensor detects humidity below 30%' and 'motion state of the motion sensor is false'. These are conditions rather than triggers. The action is 'set the bathroom light mode to Eco Mode and reduce brightness by 10%'. For the conditions, the device is the multi-functional-device in the bathroom with id 1. The services are humidity-sensor and motion-sensor. The properties are humidity with op < and motion-state with op ==. The states are 30.0 and false, respectively. For the action, the same device is used with services light. The properties are mode and brightness-delta, and their states are 3 (Eco Mode) and -10, respectively."", ""TAP"": {""trigger"": """", ""condition"": ""1.humidity-sensor.humidity<30.0 && 1.motion-sensor.motion-state==false"", ""action"": ""1.light.mode=3,1.light.brightness-delta=-10""}, ""Say_to_user"": ""Ok, I have generated the TAP for your conditions."", ""Action_type"": ""Finish""}"
bathroom,"If the motion state of the motion sensor is true and the detected humidity is above 60%, turn on the ventilation fan and set the speed to 50%.","{""Thought"": ""Based on the user request, the trigger is 'motion state of the motion sensor is true and detected humidity is above 60%'. For the trigger, the device is the multi-functional-device in the bathroom with id 1. The services are motion-sensor and humidity-sensor. The properties are motion-state with op == and humidity with op >. The states are true and 60.0, respectively. The action is to 'turn on the ventilation fan and set the speed to 50%'. The device is the same multi-functional-device in the bathroom. The service is ventilation-fan. The properties are on and speed, and their states are true and 50, respectively."", ""TAP"": {""trigger"": ""1.motion-sensor.motion-state==true"", ""condition"": ""1.humidity-sensor.humidity>60.0"", ""action"": ""1.ventilation-fan.on=true,1.ventilation-fan.speed=50""}, ""Say_to_user"": ""Ok, I have generated the TAP for your conditions."", ""Action_type"": ""Finish""}"
bathroom,"If the temperature sensor detects temperatures below 5°C, turn on the bathroom light, set its mode to Night Light, and increase brightness by 20%.","{""Thought"": ""Based on the user request, the trigger is 'temperature sensor detects temperatures below 5°C'. The device is the multi-functional-device in the bathroom with id 1. The service is temperature-sensor. The property is temperature with op < and the state is 5.0. The action is to 'turn on the bathroom light, set its mode to Night Light, and increase brightness by 20%'. The device is the same multi-functional-device. For the light service, the properties are on, mode, and brightness-delta, with the states true, 2 (Night Light), and 20, respectively."", ""TAP"": {""trigger"": ""1.temperature-sensor.temperature<5.0"", ""condition"": """", ""action"": ""1.light.on=true,1.light.mode=2,1.light.brightness-delta=20""}, ""Say_to_user"": ""Ok, I have generated the TAP for your conditions."", ""Action_type"": ""Finish""}"
bathroom,"If the bathroom light is turned on and the humidity sensor detects humidity levels exceeding 75%, enable the ventilation fan's auto-mode and set the fan speed to 60%.","{""Thought"": ""Based on the user request, the trigger is not specified clearly, but the condition is 'the bathroom light is turned on' and 'humidity levels exceeding 75%'. For the condition, the device is the multi-functional-device in the bathroom with id 1. The services are light and humidity-sensor. The properties are on and humidity, with states true and 75.0, respectively. The action is to 'enable the ventilation fan's auto-mode and set the fan speed to 60%'. The device, again, is the multi-functional-device. The service is ventilation-fan. The properties are auto-mode and speed, with states true and 60."", ""TAP"": {""trigger"": """", ""condition"": ""1.light.on==true and 1.humidity-sensor.humidity>75.0"", ""action"": ""1.ventilation-fan.auto-mode=true,1.ventilation-fan.speed=60""}, ""Say_to_user"": ""I'm missing a clear trigger for automation. Could you specify what should trigger this condition?"", ""Action_type"": ""AskUser""}"
bathroom,"If the temperature is above the threshold set in the temperature sensor, adjust the bathroom light's color temperature by -10%.","{""Thought"": ""Based on the user request, the trigger is 'temperature is above the threshold', the action is 'adjust the bathroom light's color temperature by -10%', and there is no explicit condition. For the trigger, the device is the multi-functional-device in the bathroom with id 1. The service is temperature-sensor. The property is temperature, and it needs to be greater than the threshold property of the same sensor. For the action, the device is the same multi-functional-device. The service is light. The property is ct-delta, and the state is -10."", ""TAP"": {""trigger"": ""1.temperature-sensor.temperature>1.temperature-sensor.threshold"", ""condition"": """", ""action"": ""1.light.ct-delta=-10""}, ""Say_to_user"": ""Ok, I have generated the TAP for you."", ""Action_type"": ""Finish""}"
bathroom,"If the bathroom humidity sensor detects a level below 40% and motion is detected, set the light's brightness to 90% and switch it to Normal mode.","{""Thought"": ""Based on the user request, the triggers are 'humidity level below 40%' and 'motion is detected'. The action is to 'set the light's brightness to 90%' and 'switch it to Normal mode'. For the first trigger, the device is the multi-functional-device in the bathroom with id 1. The service is humidity-sensor. The property is humidity, and the state is below 40. For the second trigger, the same device is used. The service is motion-sensor. The property is motion-state, and the state is true. For the actions, the device is the multi-functional-device as well. The service is light. The properties are brightness set to 90 and mode set to Normal which corresponds to a value of 1."", ""TAP"": {""trigger"": ""1.humidity-sensor.humidity<40,1.motion-sensor.motion-state==true"", ""condition"": """", ""action"": ""1.light.brightness=90,1.light.mode=1""}, ""Say_to_user"": ""Ok, I have generated the TAP for you."", ""Action_type"": ""Finish""}"
bathroom,"If the motion state is false for more than the timeout duration of the motion sensor, turn off the bathroom light and the ventilation fan.","{""Thought"": ""Based on the user request, the trigger is 'motion state is false for more than the timeout duration'. The action is to 'turn off the bathroom light and the ventilation fan'. The device is the multi-functional-device in the bathroom with id 1. For the trigger, the service is motion-sensor, and the property is motion-state with the state being false. Additionally, there is a condition where the duration should be more than the motion-sensor's property, timeout. For the actions, the services are light and ventilation-fan. The properties are 'on' and the states should be set to false for both."", ""TAP"": {""trigger"": ""1.motion-sensor.motion-state==false"", ""condition"": ""timeout duration > 1.motion-sensor.timeout"", ""action"": ""1.light.on=false,1.ventilation-fan.on=false""}, ""Say_to_user"": ""Ok, I have generated the TAP for turning off the bathroom light and ventilation fan if no motion is detected for longer than the timeout duration."", ""Action_type"": ""Finish""}"
bedroom,"If the motion state of the bedroom's motion sensor is true and the illumination detected by the illumination sensor is below 100 lux, turn on the bedroom light and set the brightness to 70%.","{""Thought"": ""Based on the user request, the trigger is that the motion state of the bedroom's motion sensor is true and the illumination is below 100 lux. The action is to turn on the bedroom light and set the brightness to 70%. For the trigger, the device is the multi-functional-device in the bedroom with id 2. The services are 'motion-sensor' and 'illumination-sensor', with properties 'motion-state' and 'illumination' respectively. The states for these are 'true' and '< 100'. For the action, the service is 'light', and the properties are 'on' with state 'true' and 'brightness' with state '70'."", ""TAP"": {""trigger"": ""2.motion-sensor.motion-state==true"", ""condition"": ""2.illumination-sensor.illumination<100"", ""action"": ""2.light.on=true,2.light.brightness=70""}, ""Say_to_user"": ""Ok, I have generated the TAP to turn on the bedroom light and set the brightness to 70% when motion is detected and the illumination is below 100 lux."", ""Action_type"": ""Finish""}"
